"id","category","name","nameZh","town","lat","lng","locationPrecision","summary","sourceIds","image","imageSource","placeId"
"old_opera_stage","Places","Old Drama Stage","古戏台","Zhouzhuang","31.1174","120.8492","town-area anchor","A performance site in Zhouzhuang's historic area.","ks-tourism","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"jinxi_town","Places","Jinxi Ancient Town","锦溪古镇","Jinxi","31.1787","120.9076","specific-site","Water town surrounded by lakes and known for folk museums.","ks-tourism","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"ancient_tile_museum","Places","Chinese Ancient Brick and Tile Museum","中国古砖瓦博物馆","Jinxi","31.1782","120.9066","town-area anchor","Museum interpreting historic bricks, tiles and kiln culture.","ks-tourism;ks-culture-policy","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","jinxi_town"
"clay_sculpture_hall","Places","Maruote Clay Sculpture Hall","马若特泥塑馆","Jinxi","31.179","120.9069","town-area anchor","A folk-museum venue dedicated to clay sculpture.","ks-tourism","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","jinxi_town"
"jinxi_ballad_center","Places","Jinxi Ballad Art Center","锦溪宣卷艺术中心","Jinxi","31.1784","120.908","town-area anchor","A venue connected with Jinxi narrative-singing culture.","ks-tourism;ks-culture-policy","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","jinxi_town"
"lianchi_temple","Places","Lianchi Temple","莲池禅院","Jinxi","31.1779","120.9091","town-area anchor","A temple listed among Jinxi's recommended sites.","ks-tourism","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","jinxi_town"
"concubine_tomb","Places","Concubine's Water Tomb","陈妃水冢","Jinxi","31.1796","120.9058","town-area anchor","A water-set memorial site central to one of Jinxi's best-known narratives.","ks-tourism","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","jinxi_town"
"wenchang_pavilion","Places","Wenchang Pavilion","文昌阁","Jinxi","31.1772","120.9075","town-area anchor","A pavilion in the Jinxi historic area.","ks-tourism","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","jinxi_town"
"zhudian_kiln","Places","Zhudian Ancient Brick Kiln","祝甸古砖窑","Jinxi","31.206","120.8898","specific-site","A former kiln adapted as a museum of local brick-making history.","ks-tourism","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"qiandeng_town","Places","Qiandeng Ancient Town","千灯古镇","Qiandeng","31.26","121.0032","specific-site","Historic town associated with Gu Yanwu, Gu Jian, Kunqu and a long flagstone street.","ks-tourism","assets/cards/qiandeng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"stone_street","Places","Ancient Flagstone Street","古石板街","Qiandeng","31.2593","121.0025","specific-site","A 1,500-metre street lined with historic residences.","ks-tourism","assets/cards/qiandeng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","qiandeng_town"
"gu_yanwu_residence","Places","Former Residence of Gu Yanwu","顾炎武故居","Qiandeng","31.2577","121.0004","specific-site","Nationally protected former residence linked to scholar Gu Yanwu.","ks-tourism;ks-heritage","assets/cards/qiandeng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","qiandeng_town"
"gu_jian_memorial","Places","Gu Jian Memorial Hall","顾坚纪念馆","Qiandeng","31.2607","121.002","town-area anchor","A memorial venue presenting Gu Jian and Kunqu origins.","ks-tourism","assets/cards/qiandeng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","qiandeng_town"
"qinfeng_tower","Places","Qinfeng Tower and Yanfu Temple","秦峰塔与延福寺","Qiandeng","31.2614","121.0047","specific-site","A nationally protected pagoda and temple complex in Qiandeng.","ks-tourism;ks-heritage","assets/cards/qiandeng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","qiandeng_town"
"qiandeng_hall","Places","Qiandeng Hall","千灯馆","Qiandeng","31.2599","121.0038","town-area anchor","A recommended cultural venue in Qiandeng.","ks-tourism","assets/cards/qiandeng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","qiandeng_town"
"bacheng_town","Places","Bacheng Ancient Town","巴城老街","Bacheng","31.454","120.8796","specific-site","Historic town area beside Yangcheng Lake.","ks-tourism","assets/cards/bacheng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"bajie_park","Places","Bajie Park","巴解园","Bacheng","31.4517","120.868","town-area anchor","A Bacheng destination connected with local crab culture.","ks-tourism","assets/cards/bacheng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","bacheng_town"
"chongning_temple","Places","Chongning Temple","崇宁古寺","Bacheng","31.4547","120.8812","town-area anchor","A temple listed among Bacheng's visitor destinations.","ks-tourism","assets/cards/bacheng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","bacheng_town"
"yangcheng_wetland","Places","Yangcheng Lake Wetland Park","阳澄湖湿地公园","Bacheng","31.432","120.828","town-area anchor","Wetland destination beside Yangcheng Lake.","ks-tourism","assets/cards/bacheng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","bacheng_town"
"chaodun_site","Places","Chaodun Archaeological Site","绰墩遗址","Bacheng","31.408","120.866","town-area anchor","A nationally protected archaeological site.","ks-tourism;ks-heritage","assets/cards/bacheng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"dianshan_lake","Places","Dianshan Lake","淀山湖","Dianshanhu","31.16","121.001","landscape anchor","A major lake landscape shaping the identity of Dianshanhu town.","ks-tourism","assets/cards/tianfu.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"liurudun","Places","Liurudun","六如墩","Dianshanhu","31.147","121.026","town-area anchor","A named Dianshanhu destination also included in the protected place-name list.","ks-tourism;ks-place-names","assets/cards/tianfu.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","dianshan_lake"
"tianfu_garden","Places","Tianfu Ecological Garden","天福生态园","Huaqiao","31.295","121.134","specific-site","An ecological and agricultural visitor area centred on an old settlement.","ks-tourism","assets/cards/tianfu.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"zhaoling_site","Places","Zhaoling Mountain Site","赵陵山遗址","Zhangpu","31.242","120.92","town-area anchor","A nationally protected archaeological site in Kunshan.","ks-heritage","assets/cards/forest.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"yuyantang","Places","Yuyan Hall","玉燕堂","Zhouzhuang","31.116","120.846","town-area anchor","A nationally protected historic hall.","ks-heritage","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"jingyetang","Places","Jingye Hall","敬业堂","Zhouzhuang","31.1165","120.847","town-area anchor","A nationally protected historic hall.","ks-heritage","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"wufeng_flour_mill","Places","Former Wufeng Flour Mill","五丰面粉厂旧址","Yushan","31.374","120.96","district anchor","A provincially protected industrial heritage site.","ks-heritage;ks-place-names","assets/cards/tinglin.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"jishan_bridge","Places","Jishan Bridge","集善桥","Huaqiao","31.311","121.1","town-area anchor","A provincially protected historic bridge.","ks-heritage","assets/cards/tianfu.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"yulong_bridge","Places","Yulong Bridge","玉龙桥","Zhouzhuang","31.1135","120.8495","town-area anchor","A provincially protected historic bridge.","ks-heritage","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"xugongqiao_trial","Places","Xugongqiao Rural Reform Experimental Area","徐公桥乡村改进试验区旧址","Huaqiao","31.324","121.13","town-area anchor","A provincially protected rural-reform historic site.","ks-heritage;ks-place-names","assets/cards/tianfu.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"kunshan_stone","Artifacts","Kunshan Stone","昆石","Yushan","31.3864","120.9486","associated-site anchor","One of the three treasures displayed and interpreted at Tinglin Garden.","ks-tinglin;ks-tourism","assets/cards/tinglin.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","tinglin_garden"
"ancient_tiles","Artifacts","Ancient Bricks and Tiles","古砖瓦","Jinxi","31.1782","120.9066","associated-site anchor","Architectural materials preserved and interpreted through Jinxi's museum collections.","ks-tourism;ks-culture-policy","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","ancient_tile_museum"
"kiln_bricks","Artifacts","Zhudian Kiln Bricks","祝甸窑砖","Jinxi","31.206","120.8898","associated-site anchor","Brick products and kiln traces used to interpret local production history.","ks-tourism","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhudian_kiln"
"opera_costume","Artifacts","Opera Costume Collection","戏曲服饰藏品","Bacheng","31.4543","120.8802","associated-site anchor","Performance costumes represented within the Opera Hundred Plays Museum collection.","ks-opera-museum","assets/cards/kunqu.jpg","https://commons.wikimedia.org/wiki/File:Kunqu_-_Dan.jpg","opera_museum"
"opera_objects","Artifacts","Opera Objects and Documents","戏曲器物与文献","Bacheng","31.4543","120.8802","associated-site anchor","Part of a museum collection built from more than 4,000 donated objects.","ks-opera-museum","assets/cards/kunqu.jpg","https://commons.wikimedia.org/wiki/File:Kunqu_-_Dan.jpg","opera_museum"
"clay_sculpture","Artifacts","Clay Sculpture","泥塑","Jinxi","31.179","120.9069","associated-site anchor","Material folk art interpreted at the Maruote Clay Sculpture Hall.","ks-tourism","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","clay_sculpture_hall"
"paper_cut_object","Artifacts","Kunshan Paper-cut Work","昆山剪纸作品","Lujia","31.319","121.051","town anchor","A finished paper-cut work associated with the locally listed craft tradition.","ks-ich6","assets/cards/qiandeng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","lujia_papercut"
"rope_knot_object","Artifacts","Kunshan Knotwork Object","昆山绳结作品","Bacheng","31.4528","120.884","town anchor","A hand-woven knotwork object created from recombined practical Chinese-knot structures.","ks-ich6","assets/cards/bacheng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","kunshan_rope_knot"
"aozao_noodles","Food","Aozao Noodles","奥灶面","Yushan","31.384","120.959","city anchor","A representative Kunshan noodle tradition using local ingredients and a distinctive broth.","ks-food;ks-culture-policy","assets/cards/aozao.jpg","https://www.ks.gov.cn/kss/ttxw/202407/da6fe60d561c49deadce176ec2019bfb.shtml","tinglin_garden"
"flour_june_crab","Food","Flour-coated June Crab","面拖六月黄","Bacheng","31.446","120.851","regional food anchor","A Jiangnan dish made with tender June crabs from the Bacheng–Yangcheng Lake area.","ks-food","assets/cards/june-crab.jpg","https://www.ks.gov.cn/kss/ttxw/202407/da6fe60d561c49deadce176ec2019bfb.shtml","bacheng_town"
"wansan_pork","Food","Wansan Pork Shank","万三蹄","Zhouzhuang","31.1157","120.8455","town anchor","A slow-braised pork shank associated with Zhouzhuang and Shen Wansan narratives.","ks-food;ks-food-fair","assets/cards/wansan.jpg","https://www.ks.gov.cn/kss/ttxw/202407/da6fe60d561c49deadce176ec2019bfb.shtml","shen_residence"
"taihe_duck","Food","Taihe Braised Duck","太和爊鸭","Zhoushi","31.456","120.998","town anchor","A documented local duck preparation traced in the official account to the Guangxu era.","ks-food","assets/cards/duck.jpg","https://www.ks.gov.cn/kss/ttxw/202407/da6fe60d561c49deadce176ec2019bfb.shtml",""
"jinhua_bacon","Food","Jinhua Village Steamed Cured Pork","金华村清蒸腊肉","Zhangpu","31.26","120.905","village-area anchor","A preserved-pork tradition associated with Jinhua Village and included in Kunshan's fifth ICH batch.","ks-food;ks-villages","assets/cards/wansan.jpg","https://www.ks.gov.cn/kss/ttxw/202407/da6fe60d561c49deadce176ec2019bfb.shtml",""
"hairy_crab","Food","Yangcheng Lake Hairy Crab","阳澄湖大闸蟹","Bacheng","31.446","120.851","regional food anchor","A well-known Bacheng specialty linked to Yangcheng Lake.","ks-tourism","assets/cards/june-crab.jpg","https://www.ks.gov.cn/kss/ttxw/202407/da6fe60d561c49deadce176ec2019bfb.shtml","bacheng_town"
"sock_bottom_pastry","Food","Sock-bottom Pastry","袜底酥","Jinxi","31.1787","120.9076","town anchor","A crisp pastry associated with Jinxi food culture.","ks-culture-policy","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","jinxi_town"
"zhengyi_qingtuan","Food","Zhengyi Green Rice Dumpling","正仪青团","Bacheng","31.407","120.87","town-area anchor","A green rice dumpling named in official Kunshan food-promotion material.","ks-food-fair","assets/cards/bacheng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","bacheng_town"
"bubble_wonton","Food","Old-street Bubble Wonton","老街泡泡馄饨","Dianshanhu","31.17","121.005","town anchor","Very thin-skinned handmade wontons documented on Dianshanhu old street.","ks-wonton","assets/cards/tianfu.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","dianshan_lake"
"apo_pickles","Food","Zhenfeng Granny Pickles","贞丰阿婆菜","Zhouzhuang","31.1168","120.8468","town anchor","A preserved vegetable food associated with Zhouzhuang's Zhenfeng area.","ks-food-fair","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhenfeng_street"
"sealed_wine","Food","Zhouzhuang Sealed Wine","周庄封坛酒","Zhouzhuang","31.119","120.846","town anchor","A rice wine linked to Zhouzhuang's documented sealed-wine brewing craft.","ks-ich6","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"copper_goose","Food","Copper-basin Braised Goose","铜盆红烧老鹅","Yushan","31.39","120.95","district anchor","A traditional goose dish slow-cooked in a specially used copper basin.","ks-ich6","assets/cards/wansan.jpg","https://www.ks.gov.cn/kss/ttxw/202407/da6fe60d561c49deadce176ec2019bfb.shtml",""
"kunqu_opera","Traditions","Kunqu Opera","昆曲","Kunshan","31.3847","120.9818","city cultural anchor","An internationally recognised opera tradition that developed in the Kunshan region.","unesco-kunqu;ks-culture-policy","assets/cards/kunqu.jpg","https://commons.wikimedia.org/wiki/File:Kunqu_-_Dan.jpg","opera_museum"
"jinxi_xuanjuan","Traditions","Jinxi Xuanjuan","锦溪宣卷","Jinxi","31.1784","120.908","associated-site anchor","A local narrative-singing tradition associated with Jinxi.","ks-culture-policy;ks-villages","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","jinxi_ballad_center"
"qiandeng_tea","Traditions","Qiandeng Springboard Tea","千灯跳板茶","Qiandeng","31.26","121.0032","town anchor","A tea custom named in Kunshan's cultural planning material.","ks-culture-policy","assets/cards/qiandeng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","qiandeng_town"
"kunbei_song","Traditions","Northern Kunshan Folk Songs","昆北民歌","Northern Kunshan","31.47","120.96","regional anchor","A folk-song tradition associated with northern Kunshan.","ks-culture-policy","assets/cards/forest.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"lujia_dragon","Traditions","Lujia Duan Dragon Dance","陆家段龙舞","Lujia","31.319","121.051","town anchor","A segmented-dragon dance tradition associated with Lujia.","ks-culture-policy","assets/cards/qiandeng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"huaqiao_sizhu","Traditions","Huaqiao Jiangnan Sizhu","花桥江南丝竹","Huaqiao","31.3","121.11","town anchor","A Jiangnan silk-and-bamboo ensemble music tradition associated with Huaqiao.","ks-culture-policy","assets/cards/tianfu.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","tianfu_garden"
"xu_massage","Traditions","Xu-style Massage","徐氏推拿技艺","Yushan","31.39","120.95","district anchor","A traditional medical practice listed in Kunshan's sixth ICH batch.","ks-ich6","assets/cards/tinglin.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"zhoushi_stucco","Traditions","Zhoushi Stucco Modelling","堆塑技艺","Zhoushi","31.456","120.998","town anchor","An architectural decoration craft using lime paste, straw fibre, modelling and colour.","ks-ich6","assets/cards/forest.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"lujia_papercut","Traditions","Kunshan Paper-cutting","昆山剪纸","Lujia","31.319","121.051","town anchor","A fine-lined paper-cutting tradition related to embroidery pattern vocabularies.","ks-ich6","assets/cards/qiandeng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"kunshan_rope_knot","Traditions","Kunshan Rope Knotting","昆山绳结","Bacheng","31.4528","120.884","town anchor","A hand-weaving practice that recombines practical Chinese knots into decorative forms.","ks-ich6","assets/cards/bacheng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","bacheng_town"
"sealed_wine_craft","Traditions","Sealed-wine Brewing Craft","周庄封坛酒酿造技艺","Zhouzhuang","31.119","120.846","town anchor","A Zhouzhuang rice-wine craft using local grain and water, with a documented wall-resting method.","ks-ich6","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"spring_ox","Traditions","Spring Ox Custom","打春牛","Zhouzhuang","31.1138","120.8501","town anchor","A Zhouzhuang folk custom listed in Kunshan's sixth ICH batch.","ks-ich6","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"round_woodcraft","Traditions","Water-town Round Woodcraft","水乡圆作工艺","Jinxi","31.1768","120.91","town anchor","A Jinxi woodworking tradition for round-form timber construction and objects.","ks-ich6","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","jinxi_town"
"longxing_qigong","Traditions","Longxing Fitness Practice","龙行健身功","Kunshan","31.38","120.98","city anchor","A traditional physical practice listed in Kunshan's sixth ICH batch.","ks-ich6","assets/cards/forest.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"shen_wansan_story","Stories","Shen Wansan and Zhouzhuang","沈万三与周庄","Zhouzhuang","31.1157","120.8455","associated-site anchor","A place-linked narrative connecting Shen Wansan, his former residence and Zhouzhuang food culture.","ks-tourism;ks-food","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","shen_residence"
"concubine_story","Stories","The Concubine's Water Tomb","陈妃水冢故事","Jinxi","31.1796","120.9058","associated-site anchor","A locally presented narrative linking Jinxi's water landscape with an emperor and his concubine.","ks-tourism","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","concubine_tomb"
"gu_yanwu_story","Stories","Gu Yanwu of Qiandeng","顾炎武与千灯","Qiandeng","31.2577","121.0004","associated-site anchor","Documented history connecting scholar Gu Yanwu with his Qiandeng birthplace and former residence.","ks-tourism;ks-heritage","assets/cards/qiandeng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","gu_yanwu_residence"
"gu_jian_story","Stories","Gu Jian and Kunqu Origins","顾坚与昆曲源流","Qiandeng","31.2607","121.002","associated-site anchor","Qiandeng interpretation presents Gu Jian as an important figure in Kunqu's origins.","ks-tourism","assets/cards/kunqu.jpg","https://commons.wikimedia.org/wiki/File:Kunqu_-_Dan.jpg","gu_jian_memorial"
"jinxi_name_story","Stories","How Jinxi Received Its Name","锦溪地名故事","Jinxi","31.1787","120.9076","town anchor","The official tourism account relates the name Jinxi to light on a peach-lined river.","ks-tourism","assets/cards/jinxi.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","jinxi_town"
"zhouzhuang_water_story","Stories","A Town Shaped by Water","水乡周庄","Zhouzhuang","31.1168","120.8468","town anchor","A documented spatial story of canals, historic bridges and riverside residences.","ks-tourism","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"three_treasures_story","Stories","The Three Treasures of Kunshan","昆山三宝","Yushan","31.3864","120.9486","associated-site anchor","Tinglin Garden presents Kun stone, viburnum and twin lotus as Kunshan's three treasures.","ks-tourism;ks-tinglin","assets/cards/tinglin.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","tinglin_garden"
"opera_city_story","Stories","348 Opera Genres in One Museum","百戏汇昆山","Bacheng","31.4543","120.8802","associated-site anchor","The Opera Hundred Plays Museum frames Kunshan as a meeting place for hundreds of Chinese opera genres.","ks-opera-museum","assets/cards/kunqu.jpg","https://commons.wikimedia.org/wiki/File:Kunqu_-_Dan.jpg","opera_museum"
