"id","a","b","label","summary","strength","sourceIds"
"rel_27","ancient_tiles","ancient_tile_museum","Material culture and place","Ancient Bricks and Tiles is documented in relation to Chinese Ancient Brick and Tile Museum. Architectural materials preserved and interpreted through Jinxi's museum collections.","Official source association","ks-tourism;ks-culture-policy"
"rel_28","kiln_bricks","zhudian_kiln","Material culture and place","Zhudian Kiln Bricks is documented in relation to Zhudian Ancient Brick Kiln. Brick products and kiln traces used to interpret local production history.","Official source association","ks-tourism"
"rel_29","opera_costume","opera_museum","Material culture and place","Opera Costume Collection is documented in relation to Opera Hundred Plays Museum. Performance costumes represented within the Opera Hundred Plays Museum collection.","Official source association","ks-opera-museum;ks-villages"
"rel_30","opera_objects","opera_museum","Material culture and place","Opera Objects and Documents is documented in relation to Opera Hundred Plays Museum. Part of a museum collection built from more than 4,000 donated objects.","Official source association","ks-opera-museum;ks-villages"
"rel_31","clay_sculpture","clay_sculpture_hall","Material culture and place","Clay Sculpture is documented in relation to Maruote Clay Sculpture Hall. Material folk art interpreted at the Maruote Clay Sculpture Hall.","Official source association","ks-tourism"
"rel_32","paper_cut_object","lujia_papercut","Material culture and place","Kunshan Paper-cut Work is documented in relation to Kunshan Paper-cutting. A finished paper-cut work associated with the locally listed craft tradition.","Official source association","ks-ich6"
"rel_33","rope_knot_object","kunshan_rope_knot","Material culture and place","Kunshan Knotwork Object is documented in relation to Kunshan Rope Knotting. A hand-woven knotwork object created from recombined practical Chinese-knot structures.","Official source association","ks-ich6"
"rel_34","aozao_noodles","tinglin_garden","Local food and place","Aozao Noodles is documented in relation to Tinglin Garden. A representative Kunshan noodle tradition using local ingredients and a distinctive broth.","Official source association","ks-food;ks-culture-policy;ks-tourism;ks-tinglin"
"rel_35","flour_june_crab","bacheng_town","Local food and place","Flour-coated June Crab is documented in relation to Bacheng Ancient Town. A Jiangnan dish made with tender June crabs from the Bacheng–Yangcheng Lake area.","Official source association","ks-food;ks-tourism"
"rel_36","wansan_pork","shen_residence","Local food and place","Wansan Pork Shank is documented in relation to Former Residence of Shen Wansan. A slow-braised pork shank associated with Zhouzhuang and Shen Wansan narratives.","Official source association","ks-food;ks-food-fair;ks-tourism"
"rel_37","hairy_crab","bacheng_town","Local food and place","Yangcheng Lake Hairy Crab is documented in relation to Bacheng Ancient Town. A well-known Bacheng specialty linked to Yangcheng Lake.","Official source association","ks-tourism"
"rel_38","sock_bottom_pastry","jinxi_town","Local food and place","Sock-bottom Pastry is documented in relation to Jinxi Ancient Town. A crisp pastry associated with Jinxi food culture.","Official source association","ks-culture-policy;ks-tourism"
"rel_39","zhengyi_qingtuan","bacheng_town","Local food and place","Zhengyi Green Rice Dumpling is documented in relation to Bacheng Ancient Town. A green rice dumpling named in official Kunshan food-promotion material.","Official source association","ks-food-fair;ks-tourism"
"rel_40","bubble_wonton","dianshan_lake","Local food and place","Old-street Bubble Wonton is documented in relation to Dianshan Lake. Very thin-skinned handmade wontons documented on Dianshanhu old street.","Official source association","ks-wonton;ks-tourism"
"rel_41","apo_pickles","zhenfeng_street","Local food and place","Zhenfeng Granny Pickles is documented in relation to Zhenfeng Cultural Street. A preserved vegetable food associated with Zhouzhuang's Zhenfeng area.","Official source association","ks-food-fair;ks-tourism"
"rel_42","sealed_wine","zhouzhuang_town","Local food and place","Zhouzhuang Sealed Wine is documented in relation to Zhouzhuang Ancient Town. A rice wine linked to Zhouzhuang's documented sealed-wine brewing craft.","Official source association","ks-ich6;ks-tourism"
"rel_43","kunqu_opera","opera_museum","Living tradition and place","Kunqu Opera is documented in relation to Opera Hundred Plays Museum. An internationally recognised opera tradition that developed in the Kunshan region.","Official source association","unesco-kunqu;ks-culture-policy;ks-opera-museum;ks-villages"
"rel_44","jinxi_xuanjuan","jinxi_ballad_center","Living tradition and place","Jinxi Xuanjuan is documented in relation to Jinxi Ballad Art Center. A local narrative-singing tradition associated with Jinxi.","Official source association","ks-culture-policy;ks-villages;ks-tourism"
"rel_45","qiandeng_tea","qiandeng_town","Living tradition and place","Qiandeng Springboard Tea is documented in relation to Qiandeng Ancient Town. A tea custom named in Kunshan's cultural planning material.","Official source association","ks-culture-policy;ks-tourism"
"rel_46","huaqiao_sizhu","tianfu_garden","Living tradition and place","Huaqiao Jiangnan Sizhu is documented in relation to Tianfu Ecological Garden. A Jiangnan silk-and-bamboo ensemble music tradition associated with Huaqiao.","Official source association","ks-culture-policy;ks-tourism"
"rel_47","kunshan_rope_knot","bacheng_town","Living tradition and place","Kunshan Rope Knotting is documented in relation to Bacheng Ancient Town. A hand-weaving practice that recombines practical Chinese knots into decorative forms.","Official source association","ks-ich6;ks-tourism"
"rel_48","sealed_wine_craft","zhouzhuang_town","Living tradition and place","Sealed-wine Brewing Craft is documented in relation to Zhouzhuang Ancient Town. A Zhouzhuang rice-wine craft using local grain and water, with a documented wall-resting method.","Official source association","ks-ich6;ks-tourism"
"rel_49","spring_ox","zhouzhuang_town","Living tradition and place","Spring Ox Custom is documented in relation to Zhouzhuang Ancient Town. A Zhouzhuang folk custom listed in Kunshan's sixth ICH batch.","Official source association","ks-ich6;ks-tourism"
"rel_50","round_woodcraft","jinxi_town","Living tradition and place","Water-town Round Woodcraft is documented in relation to Jinxi Ancient Town. A Jinxi woodworking tradition for round-form timber construction and objects.","Official source association","ks-ich6;ks-tourism"
"rel_51","shen_wansan_story","shen_residence","Place and documented memory","Shen Wansan and Zhouzhuang is documented in relation to Former Residence of Shen Wansan. A place-linked narrative connecting Shen Wansan, his former residence and Zhouzhuang food culture.","Official source association","ks-tourism;ks-food"
"rel_52","concubine_story","concubine_tomb","Place and documented memory","The Concubine's Water Tomb is documented in relation to Concubine's Water Tomb. A locally presented narrative linking Jinxi's water landscape with an emperor and his concubine.","Official source association","ks-tourism"
"rel_53","gu_yanwu_story","gu_yanwu_residence","Place and documented memory","Gu Yanwu of Qiandeng is documented in relation to Former Residence of Gu Yanwu. Documented history connecting scholar Gu Yanwu with his Qiandeng birthplace and former residence.","Official source association","ks-tourism;ks-heritage"
"rel_54","gu_jian_story","gu_jian_memorial","Place and documented memory","Gu Jian and Kunqu Origins is documented in relation to Gu Jian Memorial Hall. Qiandeng interpretation presents Gu Jian as an important figure in Kunqu's origins.","Official source association","ks-tourism"
"rel_55","jinxi_name_story","jinxi_town","Place and documented memory","How Jinxi Received Its Name is documented in relation to Jinxi Ancient Town. The official tourism account relates the name Jinxi to light on a peach-lined river.","Official source association","ks-tourism"
"rel_56","zhouzhuang_water_story","zhouzhuang_town","Place and documented memory","A Town Shaped by Water is documented in relation to Zhouzhuang Ancient Town. A documented spatial story of canals, historic bridges and riverside residences.","Official source association","ks-tourism"
"rel_57","three_treasures_story","tinglin_garden","Place and documented memory","The Three Treasures of Kunshan is documented in relation to Tinglin Garden. Tinglin Garden presents Kun stone, viburnum and twin lotus as Kunshan's three treasures.","Official source association","ks-tourism;ks-tinglin"
"rel_58","opera_city_story","opera_museum","Place and documented memory","348 Opera Genres in One Museum is documented in relation to Opera Hundred Plays Museum. The Opera Hundred Plays Museum frames Kunshan as a meeting place for hundreds of Chinese opera genres.","Official source association","ks-opera-museum;ks-villages"
"rel_59","kunqu_opera","gu_jian_story","Origins and performance tradition","Qiandeng interpretation of Gu Jian provides a place-based route into the history of Kunqu.","Cross-source association","unesco-kunqu;ks-culture-policy;ks-tourism"
"rel_60","ancient_tiles","zhudian_kiln","From kiln production to museum collection","Jinxi's kiln landscape and brick-and-tile museum together support a material-culture connection.","Cross-source association","ks-tourism;ks-culture-policy"
"rel_61","sealed_wine","sealed_wine_craft","Food product and brewing practice","The sealed wine is the product of the documented Zhouzhuang brewing craft.","Cross-source association","ks-ich6"
"rel_62","wansan_pork","shen_wansan_story","Food and transmitted story","The official food account connects Wansan pork shank with Shen Wansan and Zhouzhuang hospitality.","Cross-source association","ks-food;ks-food-fair;ks-tourism"
"rel_63","flour_june_crab","hairy_crab","Seasonal crab food culture","Both fragments are tied to crab food culture in the Bacheng–Yangcheng Lake area.","Cross-source association","ks-food;ks-tourism"
"rel_64","jinxi_name_story","concubine_story","Two narratives of Jinxi","The official tourism account presents both the town-name explanation and the concubine narrative as ways of reading Jinxi.","Cross-source association","ks-tourism"
"rel_65","kunshan_stone","three_treasures_story","Object and civic cultural story","Kun stone is one of the three treasures interpreted at Tinglin Garden.","Cross-source association","ks-tinglin;ks-tourism"
"rel_66","opera_objects","opera_city_story","Collection and museum narrative","The donated collection supports the museum's account of 348 opera genres.","Cross-source association","ks-opera-museum"
"rel_67","aozao_noodles","kunqu_opera","Two distinct Kunshan cultural anchors","Official sources identify both as prominent but different parts of Kunshan culture; this is a thematic route prompt, not a causal claim.","Interpretive route prompt","ks-food;ks-culture-policy;unesco-kunqu"
